time,IB CIVIC CTR,NESTOR - BES,SAN YSIDRO,wind_direction_10m,wind_speed_10m,sector_idx,sector,hour_of_day
2026-04-01 01:00:00-07:00,12.2,54.6,2.8,174.80566,5.9644947,8,S,1
2026-04-01 05:00:00-07:00,3.2,72.8,10.4,219.09384,3.710795,10,SW,5
2026-04-01 06:00:00-07:00,2.9,115.3,14.4,201.80147,2.907989,9,SSW,6
2026-04-02 01:00:00-07:00,0.4,132.3,18.3,42.27363,2.6758924,2,NE,1
2026-04-02 02:00:00-07:00,0.5,50.5,0.8,75.96373,2.968636,3,ENE,2
2026-04-02 05:00:00-07:00,0.6,294.4,13.4,57.724377,4.0449967,3,ENE,5
2026-04-02 06:00:00-07:00,0.4,62.5,12.6,74.74483,2.0523157,3,ENE,6
2026-04-02 23:00:00-07:00,0.3,155.0,1.7,26.564985,1.609969,1,NNE,23
2026-04-03 01:00:00-07:00,0.4,189.4,21.5,35.311302,5.293959,2,NE,1
2026-04-03 02:00:00-07:00,2.6,199.1,0.6,21.801476,1.9386592,1,NNE,2
2026-04-03 03:00:00-07:00,45.2,63.3,0.5,79.99209,3.1072817,4,E,3
2026-04-03 20:00:00-07:00,0.4,72.6,24.7,125.537766,1.5484185,6,SE,20
2026-04-03 21:00:00-07:00,1.9,113.8,23.0,94.39862,2.3469126,4,E,21
2026-04-03 22:00:00-07:00,14.3,147.5,21.1,68.96242,2.5071096,3,ENE,22
2026-04-03 23:00:00-07:00,10.6,84.9,13.6,55.0079,2.19718,2,NE,23
2026-04-04 21:00:00-07:00,1.6,193.3,7.9,135.0001,0.5091169,6,SE,21
2026-04-04 22:00:00-07:00,25.9,752.4,12.7,222.70937,3.1845248,10,SW,22
2026-04-04 23:00:00-07:00,53.0,192.9,1.5,180.0,0.35999998,8,S,23
2026-04-05 00:00:00-07:00,3.3,116.3,8.1,143.13002,0.9,6,SE,0
2026-04-06 01:00:00-07:00,49.3,542.0,4.6,176.98727,3.4247334,8,S,1
2026-04-06 02:00:00-07:00,85.1,91.3,3.2,145.30478,2.8460495,6,SE,2
2026-04-06 03:00:00-07:00,66.9,166.6,7.8,135.0001,1.781909,6,SE,3
2026-04-06 07:00:00-07:00,24.2,211.3,7.2,136.54811,4.7110505,6,SE,7
2026-04-06 23:00:00-07:00,0.5,255.7,19.5,344.05453,1.3104197,15,NNW,23
2026-04-07 01:00:00-07:00,0.4,322.6,36.6,333.43503,1.2074767,15,NNW,1
2026-04-07 20:00:00-07:00,0.5,79.6,6.3,274.76355,2.1674871,12,W,20
2026-04-07 21:00:00-07:00,5.7,360.8,6.7,270.0,1.6199999,12,W,21
2026-04-07 22:00:00-07:00,12.8,61.0,5.3,237.52882,2.3469129,11,WSW,22
2026-04-07 23:00:00-07:00,0.7,162.2,7.0,216.02747,2.4482648,10,SW,23
2026-04-08 00:00:00-07:00,59.8,226.8,2.0,167.4712,1.659518,7,SSE,0
2026-04-08 01:00:00-07:00,107.1,217.6,1.1,121.60746,2.7475805,5,ESE,1
2026-04-08 02:00:00-07:00,98.6,343.5,2.5,128.65984,3.4576871,6,SE,2
2026-04-08 03:00:00-07:00,21.3,223.9,1.7,128.65984,3.4576871,6,SE,3
2026-04-08 04:00:00-07:00,7.3,95.3,1.2,113.62939,3.143565,5,ESE,4
2026-04-08 05:00:00-07:00,18.5,90.5,1.3,151.11351,5.9617786,7,SSE,5
2026-04-08 06:00:00-07:00,3.1,53.2,1.8,148.67137,4.846648,7,SSE,6
2026-04-08 20:00:00-07:00,0.5,59.4,10.8,255.37909,4.278551,11,WSW,20
2026-04-08 21:00:00-07:00,14.3,72.1,2.7,204.44394,2.1749482,9,SSW,21
2026-04-08 23:00:00-07:00,32.3,55.2,6.7,184.08554,2.5264204,8,S,23
2026-04-09 01:00:00-07:00,21.6,150.6,11.3,177.70944,4.503598,8,S,1
2026-04-09 06:00:00-07:00,52.9,64.8,1.2,130.23628,6.1305785,6,SE,6
2026-04-09 07:00:00-07:00,27.9,98.6,2.5,148.73633,5.896202,7,SSE,7
2026-04-09 22:00:00-07:00,2.6,64.4,2.3,276.70975,3.0811036,12,W,22
2026-04-09 23:00:00-07:00,0.4,299.2,8.8,30.963696,1.0495713,1,NNE,23
2026-04-11 01:00:00-07:00,5.3,167.4,3.2,44.999897,0.25455844,2,NE,1
2026-04-11 04:00:00-07:00,61.0,118.5,4.0,153.43501,2.8174455,7,SSE,4
2026-04-11 06:00:00-07:00,130.6,88.9,1.4,142.43134,2.9522195,6,SE,6
2026-04-11 07:00:00-07:00,18.0,97.3,2.0,122.471176,2.3469129,5,ESE,7
2026-04-12 00:00:00-07:00,0.4,156.1,38.6,266.6336,3.0652895,12,W,0
2026-04-12 01:00:00-07:00,17.0,101.7,14.3,251.56496,3.9844694,11,WSW,1
2026-04-12 03:00:00-07:00,8.7,82.3,0.7,213.6901,0.6489992,9,SSW,3
2026-04-12 04:00:00-07:00,2.6,276.0,1.1,167.90526,2.5772078,7,SSE,4
2026-04-12 05:00:00-07:00,16.7,151.7,1.4,154.72232,7.16617,7,SSE,5
2026-04-12 06:00:00-07:00,34.4,120.6,1.3,139.23648,6.8919086,6,SE,6
