metric,parameter,S1,S1_conf,ST,ST_conf
corr__IB CIVIC CTR,diel_phase_hours,0.6190126082639749,0.32803407837210935,0.374114219169296,0.21982489279317607
corr__IB CIVIC CTR,f_arch_estuary,0.2885582741927812,0.30869108137953766,0.23073538763004123,0.15323433046776683
corr__IB CIVIC CTR,f_arch_drain,0.2955804604577782,0.21232212867420494,0.0868988532674818,0.06049843743520476
corr__IB CIVIC CTR,diel_amplitude,-0.040721864312774476,0.27259449692132287,0.06168318710485089,0.08455313890197003
corr__IB CIVIC CTR,Q10,0.07648768834770925,0.06681816396623302,0.00962089687982698,0.007885061332717625
corr__IB CIVIC CTR,f_arch_channel,0.04684965510116388,0.0833597428603029,0.009549649346477578,0.014103843447679268
corr__IB CIVIC CTR,substrate_threshold,-0.01858033104013474,0.02235750229545127,0.0019039801868922883,0.0022330988670061546
corr__IB CIVIC CTR,substrate_alpha,-0.003210131392078472,0.006209402341921295,0.00010085351600934772,0.00012120190980125891
corr__IB CIVIC CTR,f_arch_bay,-0.0010039937161763518,0.0017123716301447546,3.4863959840343273e-06,2.045270264019363e-06
corr__IB CIVIC CTR,T_ref_c,-4.125392545466344e-17,1.531067044499743e-16,1.5085204083863732e-31,1.4663837032735773e-31
corr__IB CIVIC CTR,baseline_scale,-2.6487549017263558e-17,1.230344507326154e-16,9.113387833028372e-32,1.0359268997401225e-31
corr__NESTOR - BES,diel_phase_hours,0.5649980390350218,0.3486191328115012,0.519692588989596,0.2682856097129661
corr__NESTOR - BES,f_arch_estuary,0.165808786458631,0.1742770630535067,0.12507985074651634,0.15786045574123578
corr__NESTOR - BES,f_arch_drain,0.21044099428965343,0.20728372265703954,0.06401610674716723,0.05446491186086854
corr__NESTOR - BES,diel_amplitude,-0.02372230756720412,0.1458647321088145,0.027086099035066785,0.02892300028893839
corr__NESTOR - BES,f_arch_channel,0.048129030598342455,0.06829532349553598,0.017263917355387605,0.017770533712403704
corr__NESTOR - BES,Q10,0.09109683675582232,0.0867889008328737,0.014795023874578246,0.005711911510456302
