metric,parameter,S1,S1_conf,ST,ST_conf
rms__SAN YSIDRO,baseline_scale,-0.16622408179197248,0.5984526109006558,0.21415941089301985,0.4011432944946667
rms__SAN YSIDRO,Q10,-0.15396923809640503,0.34547592524405984,0.034891295903209364,0.02190451398337515
rms__SAN YSIDRO,T_ref_c,-0.14599140413771497,0.27771256119890886,0.04203552531430938,0.07592520895474934
rms__SAN YSIDRO,substrate_alpha,0.35631338444343796,0.2546781860341139,0.06192585229666456,0.026392495610937615
rms__SAN YSIDRO,substrate_threshold,-0.008726201208931738,0.2363930142086254,0.07039750485549195,0.1752508208505009
rms__SAN YSIDRO,diel_amplitude,0.28927194661981515,0.34586224657463716,0.06771741407772496,0.06839339891586879
rms__SAN YSIDRO,diel_phase_hours,0.35222954800809186,0.3430004926020537,0.11723173543844326,0.15154100151599664
rms__SAN YSIDRO,f_arch_drain,0.1662765844795629,0.5008270233222845,0.07639466407315709,0.1623893559831022
rms__SAN YSIDRO,f_arch_channel,-0.026315446405285773,0.18000636911113932,0.009938506846944788,0.0230756397515946
rms__SAN YSIDRO,f_arch_estuary,-0.0013964038319245736,0.002972687892410792,9.903681087107158e-06,2.5442496568369646e-05
rms__SAN YSIDRO,f_arch_bay,8.02898005666811e-05,0.00013346833074803657,2.471925408804576e-08,7.264073927082612e-08
corr__SAN YSIDRO,baseline_scale,1.0317216026561864e-16,4.033299246109552e-16,3.445113469660743e-31,2.8391007305111156e-31
corr__SAN YSIDRO,Q10,0.031609473393463726,0.13398576826194483,0.03217857831007582,0.015515540259746401
corr__SAN YSIDRO,T_ref_c,1.4222824974927315e-16,4.446688907927494e-16,4.893442850449319e-31,6.136207242404504e-31
corr__SAN YSIDRO,substrate_alpha,5.881101163737558e-05,0.006457145905644614,0.0005585041602071989,0.001055891506705384
corr__SAN YSIDRO,substrate_threshold,0.02639467442026566,0.04235361234086183,0.003201116483759393,0.0024175986155561585
corr__SAN YSIDRO,diel_amplitude,-0.030833061583153985,0.3850298882813014,0.2869657054675765,0.42092943633922963
corr__SAN YSIDRO,diel_phase_hours,0.5595291109517367,0.5576146008967574,0.8462062888787879,0.5790888984750202
corr__SAN YSIDRO,f_arch_drain,-0.015213718173032794,0.03743462046932492,0.0019406189159595012,0.0016695245905180714
corr__SAN YSIDRO,f_arch_channel,0.06682246115567539,0.13238791226114635,0.02781678429074657,0.027844429727216874
corr__SAN YSIDRO,f_arch_estuary,0.00767885372097828,0.02011837541311819,0.0006204486850190998,0.0005380968419896671
corr__SAN YSIDRO,f_arch_bay,0.000518554457680496,0.001762496854377643,3.447400764268099e-06,2.6116840758100327e-06
peak_ratio__SAN YSIDRO,baseline_scale,-0.16758703171752842,0.6482183759067125,0.17336583623201035,0.2510297676537001
peak_ratio__SAN YSIDRO,Q10,-0.15990732030733185,0.3625927085934587,0.03307205684922751,0.01717442491439707
peak_ratio__SAN YSIDRO,T_ref_c,-0.1453512082338129,0.2681814050730333,0.033572449350668415,0.06175692843876137
peak_ratio__SAN YSIDRO,substrate_alpha,0.3523048787876537,0.18764567828749232,0.05239645032855615,0.030780403185918213
peak_ratio__SAN YSIDRO,substrate_threshold,-0.006708061758170381,0.22018858860725246,0.05272633786334759,0.13062111475667856
peak_ratio__SAN YSIDRO,diel_amplitude,0.2887197839718436,0.3319257303114188,0.051410527207588416,0.046207656568977754
peak_ratio__SAN YSIDRO,diel_phase_hours,0.44568442254570645,0.44254791413663735,0.18355376916479038,0.3126208870232662
peak_ratio__SAN YSIDRO,f_arch_drain,0.22173994756274665,0.5965369259522135,0.09318798594797963,0.17358067803032848
peak_ratio__SAN YSIDRO,f_arch_channel,0.0323208492638199,0.1732827183521492,0.0110029576597827,0.042067058370867286
peak_ratio__SAN YSIDRO,f_arch_estuary,-0.0003113572644655024,0.0011598487346008456,5.677972960166056e-06,2.115123205572769e-05
peak_ratio__SAN YSIDRO,f_arch_bay,-1.8823475382050655e-05,7.01200408480612e-05,2.0752715617040572e-08,7.730672669313168e-08
rms__NESTOR - BES,baseline_scale,-0.11759378294604964,0.35008069319761653,0.27230531269765446,0.8410498041061084
rms__NESTOR - BES,Q10,0.006651932463454991,0.06096008762873924,0.003238390446163868,0.011372388116201417
rms__NESTOR - BES,T_ref_c,0.07163303150872243,0.2061880737711586,0.037760515395142955,0.06849498059193597
rms__NESTOR - BES,substrate_alpha,0.1904570533124147,0.17373616503793324,0.06181407118314372,0.04337226061920151
rms__NESTOR - BES,substrate_threshold,-0.10583352166920199,0.1596813504830344,0.15635608146510063,0.18082002751900575
rms__NESTOR - BES,diel_amplitude,0.6043119558649052,0.9247736622219407,0.35037548686233083,0.4070877137374007
rms__NESTOR - BES,diel_phase_hours,-0.09246638750314144,0.060657251318066104,0.05828586075361701,0.06654849320889619
rms__NESTOR - BES,f_arch_drain,-0.13230855373286884,0.3000805333415275,0.04694509348639959,0.026041879485244418
rms__NESTOR - BES,f_arch_channel,-0.05063583260460018,0.07293062893286524,0.008198711156869917,0.005476341543332512
rms__NESTOR - BES,f_arch_estuary,0.018523479992800514,0.054522328021328406,0.004453419116327839,0.011986872752440793
rms__NESTOR - BES,f_arch_bay,0.0012372412723853884,0.0013007532030775296,1.3973444728092723e-06,1.0717833057722092e-06
corr__NESTOR - BES,baseline_scale,1.462310473011308e-16,3.9913657673779386e-16,2.1903214769058374e-31,1.9256768415547011e-31
corr__NESTOR - BES,Q10,0.09109683675582302,0.08465797534733856,0.014795023874578293,0.005485958704237359
corr__NESTOR - BES,T_ref_c,2.4229824764259645e-16,4.183778741949325e-16,2.3657235706537153e-31,2.774895653901611e-31
corr__NESTOR - BES,substrate_alpha,-0.013321354582352125,0.04765684669385476,0.0034194481587690815,0.010951175226787407
corr__NESTOR - BES,substrate_threshold,-0.029928550553877328,0.06715993834049067,0.007122714387739285,0.01575313774705058
corr__NESTOR - BES,diel_amplitude,-0.023722307567203647,0.1408929368982965,0.027086099035066737,0.029746219700275574
corr__NESTOR - BES,diel_phase_hours,0.5649980390350221,0.38810059603418745,0.5196925889895961,0.29993107876922187
corr__NESTOR - BES,f_arch_drain,0.21044099428965374,0.19203131330141315,0.06401610674716722,0.056791878762809125
corr__NESTOR - BES,f_arch_channel,0.048129030598342656,0.08274353540964197,0.017263917355387605,0.023019112171920764
corr__NESTOR - BES,f_arch_estuary,0.16580878645863134,0.18956201353645954,0.12507985074651634,0.16165408034213014
corr__NESTOR - BES,f_arch_bay,-0.0006927064073059076,0.0020595144736457603,1.4059468669438662e-05,1.4928487991327518e-05
peak_ratio__NESTOR - BES,baseline_scale,-0.13048543111869895,0.3909690271824209,0.29207246734107645,1.7672188284546864
peak_ratio__NESTOR - BES,Q10,-0.010900580616554936,0.08143916514744931,0.003909256848598696,0.024290186014705943
peak_ratio__NESTOR - BES,T_ref_c,0.06554349784461562,0.1549032822182551,0.03602672070362177,0.07114873080617133
peak_ratio__NESTOR - BES,substrate_alpha,0.15737085891824532,0.23404106448180687,0.059189210545468204,0.04160949544579328
peak_ratio__NESTOR - BES,substrate_threshold,-0.09645950183245068,0.3244486153038094,0.1796882133473287,0.28829349242084923
peak_ratio__NESTOR - BES,diel_amplitude,0.6376498871782833,1.170372534739261,0.4346419660442662,0.6510407223727266
peak_ratio__NESTOR - BES,diel_phase_hours,-0.14272323489741004,0.1765412302184189,0.13297626704518176,0.14817328755624842
