metric,parameter,S1,S1_conf,ST,ST_conf
corr__IB CIVIC CTR,diel_phase_hours,0.39165056712599655,0.018672882083820175,0.48892967551987704,0.016684482450859187
corr__IB CIVIC CTR,f_arch_estuary,0.315659258869794,0.01769719640285656,0.3605256061593503,0.013669829782816827
corr__IB CIVIC CTR,f_arch_drain,0.15188721964858698,0.013829766244392689,0.17409301176510844,0.008041443597178193
corr__IB CIVIC CTR,diel_amplitude,0.0017025380852784603,0.00914545691797099,0.08003817650333052,0.004217102210547011
corr__IB CIVIC CTR,Q10,0.011479636796802804,0.004176508257878747,0.016616587781617807,0.0007222046586001624
corr__IB CIVIC CTR,f_arch_channel,0.005360606043302171,0.003035039344923996,0.010483896518473196,0.000689591623737091
corr__IB CIVIC CTR,substrate_threshold,0.0019291957678959884,0.001699034768399603,0.002968390812892458,0.00020365702962377678
corr__IB CIVIC CTR,substrate_alpha,0.0004057163383765187,0.0009920470568241923,0.0008754724788168309,8.727934557730926e-05
corr__IB CIVIC CTR,f_arch_bay,3.1621840722166256e-05,0.00010141277148541639,1.0347720723955036e-05,5.899246533217864e-07
corr__IB CIVIC CTR,T_ref_c,2.0865063926174813e-18,1.61664866855079e-17,2.7724712609181848e-31,1.2749099426432942e-32
corr__IB CIVIC CTR,baseline_scale,7.860080059561201e-18,1.6465468585618377e-17,2.7046112559557487e-31,1.249522393631141e-32
corr__NESTOR - BES,diel_phase_hours,0.6125805475435829,0.024478419523410358,0.766312268186696,0.02545375102496039
corr__NESTOR - BES,diel_amplitude,0.021873901429343034,0.011048211635583066,0.14229126838964484,0.007774618063087004
corr__NESTOR - BES,f_arch_estuary,0.07239953541380867,0.010175300271632168,0.11709372065440479,0.00571061316932624
corr__NESTOR - BES,f_arch_drain,0.08089377415848137,0.010356990019164682,0.09994712982525383,0.005307623989755737
corr__NESTOR - BES,Q10,0.030046049857252177,0.005866256637939749,0.0393817850434176,0.0019181720102920397
corr__NESTOR - BES,f_arch_channel,0.003736146891036317,0.003518054128216037,0.011620189090218997,0.000820441071759862
corr__NESTOR - BES,substrate_threshold,0.00881918692987078,0.003093591769631177,0.010511476721387558,0.0005504561064728952
corr__NESTOR - BES,substrate_alpha,0.0020209088613236926,0.001560523614408166,0.003142216149539105,0.0002557688156320318
corr__NESTOR - BES,f_arch_bay,4.1561676878121896e-05,0.0001358665075505337,1.909198491195773e-05,1.2577457470629492e-06
corr__NESTOR - BES,T_ref_c,-4.7844427752175066e-18,2.1641479399455388e-17,5.011357568915063e-31,2.486763730762364e-32
corr__NESTOR - BES,baseline_scale,-1.1751283306324261e-17,1.7373109957168067e-17,4.847592884995656e-31,2.1052303281764203e-32
corr__SAN YSIDRO,diel_phase_hours,0.6920619560527905,0.02688976519028336,0.8937981068324959,0.03222193798844074
corr__SAN YSIDRO,diel_amplitude,0.09007897335748202,0.015241466218422015,0.25757137949893655,0.012202696677906128
corr__SAN YSIDRO,Q10,0.003431980120228323,0.005887201058248373,0.03506880863118612,0.0017776810070153047
corr__SAN YSIDRO,f_arch_drain,0.0030882757046513556,0.003869771250946129,0.01449618455069982,0.0011087874709284505
corr__SAN YSIDRO,f_arch_channel,0.00020813015404957673,0.003032095111576952,0.01067835387621593,0.000684332535918261
corr__SAN YSIDRO,substrate_threshold,0.0034242353526266938,0.0021478119778929653,0.00494695837240189,0.0002742199119807271
corr__SAN YSIDRO,substrate_alpha,0.0004637471585521024,0.0011586505862050608,0.0014550713555492075,0.00012089308757546901
corr__SAN YSIDRO,f_arch_estuary,0.0007410161625600158,0.001079777499307086,0.001167311080956817,0.00010000985294185977
corr__SAN YSIDRO,f_arch_bay,-3.4073176609726434e-05,7.565187422579679e-05,6.813220314105433e-06,6.16355496257041e-07
corr__SAN YSIDRO,T_ref_c,-1.3107723143607528e-17,2.132632724119136e-17,6.567838207466893e-31,2.7617188745586917e-32
corr__SAN YSIDRO,baseline_scale,7.411212841222984e-18,2.583898619795185e-17,6.561515508272132e-31,2.7397019001535697e-32
peak_ratio__IB CIVIC CTR,substrate_threshold,0.14084358391811647,0.024961250556012875,0.42688814560066135,0.06583419416924462
peak_ratio__IB CIVIC CTR,baseline_scale,0.1168691985596454,0.019917367991833346,0.32792115079337547,0.05143486541841777
peak_ratio__IB CIVIC CTR,T_ref_c,0.08629392837951003,0.01627569725047759,0.2842255901728966,0.03401149402424593
peak_ratio__IB CIVIC CTR,substrate_alpha,0.05588507422734189,0.019704654436520128,0.2141935204138296,0.04309784756963719
peak_ratio__IB CIVIC CTR,f_arch_estuary,0.031050017000887484,0.009517050867094467,0.16883541402268737,0.0492864825475746
peak_ratio__IB CIVIC CTR,diel_phase_hours,0.005043593079741392,0.009491223051310345,0.11081740394894884,0.021642994142818568
peak_ratio__IB CIVIC CTR,diel_amplitude,0.023472492000666013,0.01003148097157368,0.10147089860229926,0.01299578759558569
peak_ratio__IB CIVIC CTR,Q10,0.005781786868844662,0.008362806462526046,0.04604008109496434,0.01729579479988034
peak_ratio__IB CIVIC CTR,f_arch_drain,0.0016846513378967454,0.005526655419376958,0.0424751817519152,0.010837472636590276
peak_ratio__IB CIVIC CTR,f_arch_channel,0.00029116004487731275,0.0014222597695241908,0.0035944573423798386,0.001082439395181407
peak_ratio__IB CIVIC CTR,f_arch_bay,-1.0264197189417974e-05,3.1915875327133986e-05,1.3926727270356091e-06,2.8791800959294575e-07
peak_ratio__NESTOR - BES,substrate_threshold,0.14127698667454006,0.02491983423176102,0.4349852931407858,0.06335206166750054
peak_ratio__NESTOR - BES,baseline_scale,0.1136978297099726,0.019837153198623003,0.35462486502629187,0.059531788390627706
peak_ratio__NESTOR - BES,T_ref_c,0.08289378271346984,0.015680410311489874,0.2674249573575585,0.04446601245032413
peak_ratio__NESTOR - BES,substrate_alpha,0.06149804062441431,0.029650403572438325,0.22559599038659647,0.05537277003859664
peak_ratio__NESTOR - BES,f_arch_drain,0.036021858310544726,0.012068780555974127,0.13823823969611387,0.019622000142763895
peak_ratio__NESTOR - BES,diel_amplitude,0.029616013033813372,0.008505336633854473,0.1298866874031887,0.022663237686836743
peak_ratio__NESTOR - BES,diel_phase_hours,0.022840780498292863,0.007835579541497148,0.12956405601410242,0.022379100644946814
peak_ratio__NESTOR - BES,Q10,0.0011726980012135224,0.005291721221251689,0.021452126687931138,0.004529830922774388
peak_ratio__NESTOR - BES,f_arch_channel,0.005235044054246026,0.005865428826828667,0.011545187525705847,0.0019072771717149471
peak_ratio__NESTOR - BES,f_arch_estuary,0.0009242501731719746,0.0019520737445231642,0.006486894831135332,0.005404526807750803
peak_ratio__NESTOR - BES,f_arch_bay,-2.2908063206302624e-05,9.251436008047717e-05,4.2901445305483244e-06,6.572294534945014e-07
peak_ratio__SAN YSIDRO,substrate_threshold,0.12568707513004337,0.0268005514130649,0.44966335725546963,0.08975918971024313
peak_ratio__SAN YSIDRO,baseline_scale,0.0979308657315867,0.017362511293184873,0.34599439029354184,0.06460810947347964
peak_ratio__SAN YSIDRO,T_ref_c,0.08251961592937372,0.01928463570390012,0.29377947833940504,0.03735109265006042
peak_ratio__SAN YSIDRO,substrate_alpha,0.041094596898420876,0.014294486851807032,0.2166288551420451,0.04170325922855518
peak_ratio__SAN YSIDRO,f_arch_drain,0.048134525187345636,0.012914082030858889,0.20778760200040225,0.04269496961141632
peak_ratio__SAN YSIDRO,diel_phase_hours,0.04872367242740918,0.01818666384407807,0.18332167243286746,0.02679824685108452
peak_ratio__SAN YSIDRO,diel_amplitude,0.010573804953421594,0.008082453590155737,0.10134271533787033,0.017424982209888557
peak_ratio__SAN YSIDRO,Q10,0.01055290463039776,0.010903820069140006,0.07676627753471593,0.01716443375948512
peak_ratio__SAN YSIDRO,f_arch_channel,0.00029454672517360446,0.0014614249021219754,0.005644088137023255,0.004350795699421663
peak_ratio__SAN YSIDRO,f_arch_estuary,1.609255401143085e-05,8.816911193787664e-05,2.2477944990541458e-05,1.0487019416885127e-05
peak_ratio__SAN YSIDRO,f_arch_bay,1.1484792676931185e-06,4.276857658180407e-06,6.759728858474876e-08,2.6603367882845568e-08
rms__IB CIVIC CTR,substrate_threshold,0.152593956183293,0.023167417010516788,0.43535305647912664,0.054373235652180676
rms__IB CIVIC CTR,baseline_scale,0.1271387548910681,0.017948205109370587,0.3392852291108868,0.04217298203896795
rms__IB CIVIC CTR,T_ref_c,0.09514215575822683,0.017532786100127137,0.28665875864634754,0.030650344504755272
rms__IB CIVIC CTR,substrate_alpha,0.061957581266098155,0.01975017609796485,0.22212183984705705,0.03443747807119769
rms__IB CIVIC CTR,f_arch_estuary,0.029550355540730613,0.007978712777436052,0.1207067144380751,0.033105863256145784
rms__IB CIVIC CTR,diel_amplitude,0.02625750451191341,0.008988699408971663,0.09587272900703528,0.011932601910495758
rms__IB CIVIC CTR,diel_phase_hours,0.00042912297104506336,0.005463560112237789,0.046981693422786776,0.01162241678456021
rms__IB CIVIC CTR,f_arch_drain,0.006107305449308391,0.0057987013376524,0.04018240203363516,0.007594761305146874
rms__IB CIVIC CTR,Q10,0.004314148446374224,0.007667312149851422,0.03491898903457309,0.010774144368593929
rms__IB CIVIC CTR,f_arch_channel,0.0018824244813167718,0.0022778758813567306,0.004640003971434445,0.0010370209077475779
rms__IB CIVIC CTR,f_arch_bay,-7.931481422019443e-06,2.9434795627302434e-05,1.0413215509944016e-06,1.5572827089638443e-07
rms__NESTOR - BES,substrate_threshold,0.15320896306953652,0.021796442728780663,0.4409451419807817,0.052267328329730606
rms__NESTOR - BES,baseline_scale,0.12076596585741835,0.015047853635612375,0.3594295485157676,0.05391611426092392
rms__NESTOR - BES,T_ref_c,0.09292472685269063,0.019449219554976145,0.27925829827695636,0.03776045662023626
rms__NESTOR - BES,substrate_alpha,0.06678555513758008,0.024801240576141484,0.23320129960539443,0.04956406467022885
rms__NESTOR - BES,f_arch_drain,0.03024516267095333,0.011476158650646166,0.11865439466264921,0.01970201366000218
rms__NESTOR - BES,diel_amplitude,0.028348047954988003,0.008371228311127084,0.11423655256377538,0.017249434586939946
rms__NESTOR - BES,diel_phase_hours,0.008598896818540373,0.007164708947773937,0.0704623701994549,0.014089478772432591
rms__NESTOR - BES,Q10,0.0015714559236072632,0.004743739075720907,0.02114881053433355,0.0044016815000625965
rms__NESTOR - BES,f_arch_channel,0.0057389498517755625,0.005265776256545128,0.013612335352461058,0.0029054105072474673
rms__NESTOR - BES,f_arch_estuary,0.0021748335718810687,0.002494092927766679,0.01066033156726865,0.005321651393566765
rms__NESTOR - BES,f_arch_bay,-1.6936792536213152e-05,6.150125611844747e-05,2.6745562481576653e-06,4.277009915393017e-07
rms__SAN YSIDRO,substrate_threshold,0.13805919743912137,0.02929876005429187,0.4465579695821826,0.07042320619107263
rms__SAN YSIDRO,baseline_scale,0.10967198125672768,0.019110996224556125,0.3531658965559467,0.05919260385962393
rms__SAN YSIDRO,T_ref_c,0.09262308299146674,0.019473750519294602,0.2976904663020862,0.03929767733603646
rms__SAN YSIDRO,substrate_alpha,0.04774392497242426,0.015240476660007694,0.21962735729918637,0.03985231366776907
rms__SAN YSIDRO,f_arch_drain,0.046926911595772405,0.011210420554527523,0.18426775940863513,0.03939255190452458
rms__SAN YSIDRO,diel_phase_hours,0.03249848222935836,0.014982025135595668,0.1150383173480859,0.02026758950298146
rms__SAN YSIDRO,diel_amplitude,0.012796672533540405,0.007715139605594815,0.09422605099873158,0.01585208142816197
rms__SAN YSIDRO,Q10,0.009309039385443236,0.010003633747061928,0.06793181038343575,0.015854809785035177
rms__SAN YSIDRO,f_arch_channel,0.0017162777112904564,0.0027329989684829305,0.008411468780576989,0.001868889497207921
rms__SAN YSIDRO,f_arch_estuary,1.0307558808172215e-05,0.00011093398291340712,1.3846264284082268e-05,2.8863705528894955e-06
rms__SAN YSIDRO,f_arch_bay,-1.0182380470650488e-06,4.8801252752925436e-06,3.7708105958089203e-08,7.817780820867415e-09
